Season,Squad,Country,Comp,LgRank,MP,W,D,L,GF,GA,GD,Pts
1988-1989,Real Madrid,es ESP,1. La Liga,1st,38,25,12,1,91,37,+54,62
1989-1990,Real Madrid,es ESP,1. La Liga,1st,38,26,10,2,107,38,+69,62
1990-1991,Real Madrid,es ESP,1. La Liga,3rd,38,20,6,12,63,37,+26,46
1991-1992,Real Madrid,es ESP,1. La Liga,2nd,38,23,8,7,78,32,+46,54
1992-1993,Real Madrid,es ESP,1. La Liga,2nd,38,24,9,5,75,28,+47,57
1993-1994,Real Madrid,es ESP,1. La Liga,4th,38,19,7,12,61,50,+11,45
1994-1995,Real Madrid,es ESP,1. La Liga,1st,38,23,9,6,76,29,+47,55
1995-1996,Real Madrid,es ESP,1. La Liga,6th,42,20,10,12,75,51,+24,70
1996-1997,Real Madrid,es ESP,1. La Liga,1st,42,27,11,4,85,36,+49,92
1997-1998,Real Madrid,es ESP,1. La Liga,4th,38,17,12,9,63,45,+18,63
1998-1999,Real Madrid,es ESP,1. La Liga,2nd,38,21,5,12,77,62,+15,68
1999-2000,Real Madrid,es ESP,1. La Liga,5th,38,16,14,8,58,48,+10,62
2000-2001,Real Madrid,es ESP,1. La Liga,1st,38,24,8,6,81,40,+41,80
2001-2002,Real Madrid,es ESP,1. La Liga,3rd,38,19,9,10,69,44,+25,66
2002-2003,Real Madrid,es ESP,1. La Liga,1st,38,22,12,4,86,42,+44,78
2003-2004,Real Madrid,es ESP,1. La Liga,4th,38,21,7,10,72,54,+18,70
2004-2005,Real Madrid,es ESP,1. La Liga,2nd,38,25,5,8,71,32,+39,80
2005-2006,Real Madrid,es ESP,1. La Liga,2nd,38,20,10,8,70,40,+30,70
2006-2007,Real Madrid,es ESP,1. La Liga,1st,38,23,7,8,66,40,+26,76
2007-2008,Real Madrid,es ESP,1. La Liga,1st,38,27,4,7,84,36,+48,85
2008-2009,Real Madrid,es ESP,1. La Liga,2nd,38,25,3,10,83,52,+31,78
2009-2010,Real Madrid,es ESP,1. La Liga,2nd,38,31,3,4,102,35,+67,96
2010-2011,Real Madrid,es ESP,1. La Liga,2nd,38,29,5,4,102,33,+69,92
2011-2012,Real Madrid,es ESP,1. La Liga,1st,38,32,4,2,121,32,+89,100
2012-2013,Real Madrid,es ESP,1. La Liga,2nd,38,26,7,5,103,42,+61,85
2013-2014,Real Madrid,es ESP,1. La Liga,3rd,38,27,6,5,104,38,+66,87
2014-2015,Real Madrid,es ESP,1. La Liga,2nd,38,30,2,6,118,38,+80,92
2015-2016,Real Madrid,es ESP,1. La Liga,2nd,38,28,6,4,110,34,+76,90
2016-2017,Real Madrid,es ESP,1. La Liga,1st,38,29,6,3,106,41,+65,93
2017-2018,Real Madrid,es ESP,1. La Liga,3rd,38,22,10,6,94,44,+50,76
2018-2019,Real Madrid,es ESP,1. La Liga,3rd,38,21,5,12,63,46,+17,68
2019-2020,Real Madrid,es ESP,1. La Liga,1st,38,26,9,3,70,25,+45,87
2020-2021,Real Madrid,es ESP,1. La Liga,2nd,38,25,9,4,67,28,+39,84
2021-2022,Real Madrid,es ESP,1. La Liga,1st,38,26,8,4,80,31,+49,86